------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <rng3/dump_m7-bundled.bin>
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
 18   8   6  11  13   7   8   8  12   9  0.236810     93/100  *  NonOverlappingTemplate
 14  11   8  14   8  11   7   7  11   9  0.719747     93/100  *  NonOverlappingTemplate
 18  14  16   8   4  12   5   8   9   6  0.014550     91/100  *  NonOverlappingTemplate
 26   5   8  11   7   6  11  10   8   8  0.000199     90/100  *  NonOverlappingTemplate
 13  10  10   4  12  16  11   7   7  10  0.319084     93/100  *  NonOverlappingTemplate
 21   8   8   8   9   9   9   6  11  11  0.080519     94/100  *  NonOverlappingTemplate
 19   9  10   5  13  10   8   9  10   7  0.162606     95/100  *  NonOverlappingTemplate
 23  14   9   7   5   5   5   8  15   9  0.000439     92/100  *  NonOverlappingTemplate
 23   8   7   7  10  13   8   8  10   6  0.007694     94/100  *  NonOverlappingTemplate
 19  11   9  10  10   7   8  13   6   7  0.162606     94/100  *  NonOverlappingTemplate
 21  12  13   4   7   9  12   5   9   8  0.010988     93/100  *  NonOverlappingTemplate
 14   8   8  13   9  12  13   6  13   4  0.289667     95/100  *  NonOverlappingTemplate
 18   8   8   9  11   8   7   8  13  10  0.350485     91/100  *  NonOverlappingTemplate
 26   7   5  10   9   7  11   8  13   4  0.000060 *   91/100  *  NonOverlappingTemplate
 16   7   9  10  11  11   9  10   9   8  0.798139     91/100  *  NonOverlappingTemplate
 21  11  13   7   8   3  11   8   7  11  0.013569     93/100  *  NonOverlappingTemplate
 16  14  11   9   7  13   5  12   9   4  0.129620     95/100  *  NonOverlappingTemplate
 24  10  13   7   8   8   7   7   5  11  0.001628     91/100  *  NonOverlappingTemplate
 21   9   9   4  13  10   6  12   6  10  0.015598     88/100  *  NonOverlappingTemplate
 20  11  10  12   9   7   6  14   3   8  0.017912     93/100  *  NonOverlappingTemplate
 21  14  11  12   5   6  11   3  10   7  0.003996     94/100  *  NonOverlappingTemplate
 16   9  10   9   9  11   8   7  11  10  0.798139     93/100  *  NonOverlappingTemplate
 18   7  11   6  12   7   6  10  13  10  0.171867     91/100  *  NonOverlappingTemplate
 20  12   5   9   8  11  14   6   8   7  0.035174     94/100  *  NonOverlappingTemplate
 25  14   7   5   3  10  10  10  12   4  0.000034 *   96/100     NonOverlappingTemplate
 21  16  11   8   6   8   8   7  11   4  0.005762     91/100  *  NonOverlappingTemplate
 17  10  12  10  12   8   5  10   6  10  0.334538     95/100  *  NonOverlappingTemplate
 21   2   6  10   7   7  10  13  10  14  0.003712     93/100  *  NonOverlappingTemplate
 13  10   7   8  14  12  10   8   7  11  0.779188     93/100  *  NonOverlappingTemplate
 19   5   9  11   8   6   8  13  13   8  0.080519     93/100  *  NonOverlappingTemplate
 18  13   6   9   6   9   8   9  11  11  0.249284     92/100  *  NonOverlappingTemplate
 24  12  14   4   8  10   9   7   7   5  0.000439     95/100  *  NonOverlappingTemplate
 19  13  10   7  10   7   5  12   5  12  0.055361     92/100  *  NonOverlappingTemplate
 21  10   6   8   6   9  12  10   7  11  0.045675     93/100  *  NonOverlappingTemplate
 15  13   8   8  11   5   8   6  14  12  0.289667     94/100  *  NonOverlappingTemplate
 21   9  10  15   7   7  10   4  12   5  0.006196     91/100  *  NonOverlappingTemplate
 15  18   6   8   7  11   8   7   7  13  0.090936     97/100     NonOverlappingTemplate
 18   8  10  14   7   9  10   5   8  11  0.191687     93/100  *  NonOverlappingTemplate
 18  13   5  12  13   8  10   3   7  11  0.042808     92/100  *  NonOverlappingTemplate
 17  11  12   9  12   9   6   4  11   9  0.249284     95/100  *  NonOverlappingTemplate
 22  15   6  11  10   9   7   9   4   7  0.003996     91/100  *  NonOverlappingTemplate
 22  11   8  10   3  14   9   6  13   4  0.001112     90/100  *  NonOverlappingTemplate
 17   4  15  10   9   7   9   8   9  12  0.162606     96/100     NonOverlappingTemplate
 10  17   7   7  10   9  12   8  12   8  0.494392     98/100     NonOverlappingTemplate
 23  11  10  15   7   6   7   6   5  10  0.001399     93/100  *  OverlappingTemplate
 17  16  10  10  13   6   9   6   7   6  0.085587     98/100     Universal
 34  11   5   8  10  10   3   4   5  10  0.000000 *   70/100  *  ApproximateEntropy
 12   8   7   3   6  10   8   8   5   8  0.491599     74/75      RandomExcursions
  9   3  10  11   6   7  10   6   4   9  0.362174     75/75      RandomExcursions
  6   9  13   6   5   9   4  10   6   7  0.362174     75/75      RandomExcursions
 10   5   7   8   8   9   5   9   7   7  0.920561     73/75      RandomExcursions
  3   5   4  14   7   8   8   8   9   9  0.175966     74/75      RandomExcursions
  3   8   7   9  10   9   5   7  10   7  0.666838     75/75      RandomExcursions
  3   5  12   6   8   8  11   6   6  10  0.295803     75/75      RandomExcursions
  8   7   8   7   8   4   7  10   8   8  0.951882     74/75      RandomExcursions
  7   8   5  11   7   8   5   6   9   9  0.834308     75/75      RandomExcursionsVariant
  6  10   7   5   7   8   9   8  10   5  0.858470     75/75      RandomExcursionsVariant
  5  13   7   5  10   6   5   7   6  11  0.295803     74/75      RandomExcursionsVariant
  7   7   7   7   8  11   8   6   5   9  0.920561     73/75      RandomExcursionsVariant
  7  11   6   5   6   9   9   7   8   7  0.881013     73/75      RandomExcursionsVariant
  9  11   8   3   8   8  10   6   3   9  0.362174     74/75      RandomExcursionsVariant
  8   9   9   9   7   3  11   8   5   6  0.607399     73/75      RandomExcursionsVariant
  8  10   3  10  10   7  10   7   6   4  0.437274     75/75      RandomExcursionsVariant
  7  12   4   4  10   7  12   4   7   8  0.190212     74/75      RandomExcursionsVariant
  5   6   4  10  10  12   6   5  11   6  0.256632     75/75      RandomExcursionsVariant
  3   4   6   5  12   6   5  10  12  12  0.048716     75/75      RandomExcursionsVariant
  6   4   6   9   8   7   7  13   7   8  0.577844     74/75      RandomExcursionsVariant
  7   4   5  11   5   9  10   9   8   7  0.607399     74/75      RandomExcursionsVariant
  9   4   5   5  11   9   4   6  13   9  0.162606     74/75      RandomExcursionsVariant
  7   5   6   9   6   8   5   8  10  11  0.754127     75/75      RandomExcursionsVariant
  7   3   6   8   8   5   8   9  10  11  0.577844     75/75      RandomExcursionsVariant
  6   5   7   5   7  11   9   6   8  11  0.666838     75/75      RandomExcursionsVariant
  5   5   8  12   8   6   3   8  11   9  0.316916     75/75      RandomExcursionsVariant
100   0   0   0   0   0   0   0   0   0  0.000000 *    0/100  *  Serial
100   0   0   0   0   0   0   0   0   0  0.000000 *    0/100  *  Serial
  8  10  12  14   4  14   9  11   6  12  0.366918    100/100     LinearComplexity


- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
The minimum pass rate for each statistical test with the exception of the
random excursion (variant) test is approximately = 96 for a
sample size = 100 binary sequences.

The minimum pass rate for the random excursion (variant) test
is approximately = 71 for a sample size = 75 binary sequences.

For further guidelines construct a probability table using the MAPLE program
provided in the addendum section of the documentation.
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
